,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  5 - 9 Years,10598,10994,11472,12231,12778,13237,13593,13836,13740,13460
  10 - 14 Years,13098,13459,13429,13189,12954,12634,12435,12288,12152,12035
  15 - 19 Years,11918,12002,11806,11584,11476,11370,11338,11411,11432,11473
  20 - 24 Years,11146,11183,11210,11242,11313,11376,11377,11286,11306,11092
  25 - 29 Years,11816,11924,11851,11834,11651,11696,12254,12818,13538,14372
  30 - 34 Years,12334,12787,13182,13861,14912,16168,17090,17732,17812,17690
  35 - 39 Years,16133,16895,17331,17294,17170,16789,16392,15995,15710,15259
  40 - 44 Years,16061,15762,15300,14981,14514,14073,13630,13220,12957,12731
  45 - 49 Years,13543,13190,12749,12450,12237,12200,12302,12469,12629,12645
  50 - 54 Years,11832,11959,12099,12243,12207,12042,12010,11661,11317,10945
  55 - 59 Years,11624,11599,11286,10980,10606,10245,9792,9405,8897,8536
  60 - 64 Years,9805,9490,9135,8654,8299,7839,7459,7194,6938,6739
  65 - 69 Years,7438,7164,6889,6627,6427,5818,5073,4409,3852,3299
  70 - 74 Years,5396,4723,4136,3584,3054,3012,3120,3141,3176,3089
  75 - 79 Years,2604,2738,2786,2818,2745,2635,2525,2381,2256,2156
  80 - 84 Years,2152,2034,1898,1841,1763,1629,1491,1393,1302,1205
  85 - 89 Years,1124,1030,952,896,827,761,674,610,545,473
  65 Years & Over,19233,18143,17064,16123,15147,14166,13142,12170,11309,10390
  70 Years & Over,11795,10979,10175,9496,8720,8348,8069,7761,7457,7091
  75 Years & Over,6399,6256,6039,5912,5666,5336,4949,4620,4281,4002
  80 Years & Over,3795,3518,3253,3094,2921,2701,2424,2239,2025,1846
  85 Years & Over,1643,1484,1355,1253,1158,1072,933,846,723,641
  90 Years & Over,519,454,403,357,331,311,259,236,178,168
Other Ethnic Groups (Total),129669,129081,128650,128013,127623,126808,126681,126496,125677,125324
  0 - 4 Years,6287,6344,6441,6600,6583,6497,6429,7021,7702,8426
  5 - 9 Years,7747,7645,8049,8541,9131,9690,10309,10411,10365,10269
  10 - 14 Years,9092,9570,9538,9492,9327,9340,9333,9284,9246,9079
  15 - 19 Years,8670,8582,8497,8408,8308,7988,7645,7227,6852,6518
  20 - 24 Years,7355,7009,6606,6305,6009,5770,5530,5478,5301,5161
  25 - 29 Years,6231,6187,6351,6225,6119,5951,6114,6458,7099,8430
  30 - 34 Years,8229,8351,8697,9109,9931,10859,11940,13088,14079,15032
  35 - 39 Years,12252,12905,13660,14313,15016,15336,15938,16402,16767,16828
  40 - 44 Years,14698,15202,15500,15896,16140,16391,16319,15949,15278,14672
  45 - 49 Years,15231,15143,14801,14344,13870,13320,12712,12295,11648,10905
  50 - 54 Years,12020,11411,11049,10548,9957,9447,9042,8471,7892,7365
